,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
1531,Audi,A3 35 TDI Premium Plus + Sunroof,2380000,2019,36000,Diesel,Automatic,Jalandhar,White,Second,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
139,Audi,Q5 45 TFSI Premium Plus,5651000,2022,1,Petrol,Automatic,Delhi,Blue,UnRegistered Car,Individual,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,4663.0,1898.0,1659.0,5.0,70.0
958,Audi,A7 Sportback 3.0 TDI quattro,2600000,2012,42000,Diesel,Automatic,Lucknow,White,First,Individual,2967 cc,241 bhp @ 4000 rpm,500 Nm @ 1400 rpm,AWD,4969.0,2139.0,1420.0,5.0,65.0
1298,BMW,X5 xDrive 30d Expedition,4800000,2017,35000,Diesel,Automatic,Delhi,Black,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1218,Hyundai,Creta E Plus 1.6 Petrol,875000,2017,50000,Petrol,Manual,Mumbai,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1038,Maruti Suzuki,Alto LXi CNG,155000,2009,56852,CNG,Manual,Kanpur,Gold,Second,Individual,796 cc,39 bhp @ 6200 rpm,54 Nm @ 3000 rpm,FWD,3495.0,1475.0,1460.0,5.0,35.0
1500,Skoda,Octavia Style 1.8 TSI AT,819999,2015,94580,Petrol,Automatic,Kanpur,Black,First,Individual,1798 cc,177 bhp @ 4500 rpm,250 Nm @ 1250 rpm,FWD,4659.0,1814.0,1476.0,5.0,50.0
109,Mahindra,Thar LX 4-STR Hard Top Petrol MT,1575000,2021,8519,Petrol,Manual,Mumbai,Blue,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
1840,Audi,A6 Technology 45 TFSI,5800000,2021,7935,Petrol,Automatic,Surat,Brown,UnRegistered Car,Individual,1984 cc,241 bhp @ 5000 rpm,370 Nm @ 1600 rpm,FWD,4939.0,1886.0,1457.0,5.0,73.0
609,Audi,A4 30 TFSI Technology Pack,3500000,2018,18000,Petrol,Automatic,Mumbai,White,First,Individual,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,4726.0,1842.0,1427.0,5.0,54.0
1938,MG,Hector Sharp 2.0 Diesel [2019-2020],1710000,2020,12400,Diesel,Manual,Mohali,Grey,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655.0,1835.0,1760.0,5.0,60.0
1166,BMW,X4 xDrive30d M Sport X [2019-2020],6100000,2021,24500,Diesel,Automatic,Mumbai,Red,First,Corporate,2993 cc,260 bhp @ 4000 rpm,620 Nm @ 2000 rpm,AWD,4752.0,1918.0,1621.0,5.0,68.0
590,Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],535000,2020,41441,Petrol,Manual,Bangalore,Silver,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,5.0,40.0
656,Hyundai,Venue SX 1.4 CRDi,1025000,2019,42000,Diesel,Manual,Mumbai,Silver,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
2043,Mercedes-Benz,C-Class C 220 CDI Avantgarde,2850000,2016,21200,Diesel,Automatic,Pune,Silver,First,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
1337,Hyundai,Santro GLS,141000,2009,56400,Petrol,Manual,Jamshedpur,Silver,Third,Individual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565.0,1525.0,1590.0,5.0,35.0
1694,Toyota,Etios V,300000,2011,49200,Petrol,Manual,Mumbai,Silver,First,Individual,1496 cc,80 bhp @ 5600 rpm,132 Nm @ 3000 rpm,FWD,4265.0,1695.0,1510.0,5.0,45.0
826,Maruti Suzuki,Ciaz Delta 1.4 MT,721000,2018,46000,Petrol,Manual,Noida,White,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
915,Renault,Kwid RXT [2015-2019],315000,2017,15507,Petrol,Manual,Pune,Bronze,First,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
1399,Hyundai,Santro Sportz CNG [2018-2020],465000,2019,28000,CNG,Manual,Delhi,White,First,Individual,1086 cc,58 bhp @ 5500 rpm,84 Nm @ 4500 rpm,FWD,3610.0,1645.0,1560.0,5.0,60.0
138,Maruti Suzuki,Ritz VXI BS-IV,210000,2011,58888,Petrol,Manual,Delhi,Maroon,Second,Individual,,,,,,,,,
247,Tata,Nexon XZA Plus Petrol,1085000,2018,8922,Petrol,Automatic,Bangalore,Red,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0
1795,Mercedes-Benz,E-Class E 220d Expression [2019-2019],4775000,2018,51529,Diesel,Automatic,Bangalore,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
231,Mercedes-Benz,GLE 250 d,5850000,2019,31000,Diesel,Automatic,Mumbai,Grey,First,Corporate,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
508,BMW,3-Series 320d Sport Line,1400000,2014,35000,Diesel,Automatic,Kolkata,Brown,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624.0,2031.0,1429.0,5.0,60.0
841,Hyundai,Creta SX 1.6 (O) Petrol,1115000,2018,37000,Petrol,Manual,Delhi,Black,Second,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
1269,Mercedes-Benz,CLA 200 CDI Sport,2800000,2018,24000,Diesel,Automatic,Mumbai,Red,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630.0,1777.0,1432.0,5.0,
2033,Mercedes-Benz,E-Class E200,950000,2011,65000,Petrol,Automatic,Mumbai,Black,Second,Individual,1991 cc,184 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4879.0,1854.0,1474.0,5.0,80.0
709,Toyota,Urban Cruiser Premium Grade AT,1050000,2021,1910,Petrol,Automatic,Varanasi,White,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
1181,Hyundai,Verna Fluidic 1.6 CRDi SX,459999,2013,78000,Diesel,Manual,Ahmedabad,White,Second,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
248,Maruti Suzuki,Alto 800 Vxi,319000,2013,47800,Petrol,Manual,Dharwad,Red,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
1268,Maruti Suzuki,Wagon R LXi Minor,218000,2008,51000,Petrol,Manual,Coimbatore,Gold,Second,Individual,1061 cc,67@6200,84@3500,FWD,3520.0,1475.0,1690.0,5.0,35.0
1819,Maruti Suzuki,Baleno Delta 1.2,650000,2018,32000,Petrol,Manual,Delhi,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
431,Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],425000,2017,41624,Petrol,Automatic,Pune,White,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
972,Mercedes-Benz,C-Class 220 CDI Sport,1100000,2012,73000,Diesel,Automatic,Kanpur,White,First,Individual,,,,,,,,,
1326,Maruti Suzuki,Alto 800 Lx CNG,299000,2017,45000,CNG,Manual,Pune,Silver,First,Individual,796 cc,48 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
503,Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,825000,2018,62000,Petrol,Automatic,Faridabad,Brown,First,Corporate,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,4390.0,1699.0,1467.0,5.0,55.0
1327,Toyota,Fortuner 2.8 4x4 AT [2016-2020],3470000,2018,62152,Diesel,Automatic,Mumbai,Silver,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,AWD,4795.0,1855.0,1835.0,7.0,80.0
692,Honda,City ZX CVT Petrol [2017-2019],1138000,2018,6000,Petrol,Automatic,Mumbai,Silver,First,Corporate,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1141,Volkswagen,Polo GT TDI,325000,2013,76000,Diesel,Manual,Lucknow,White,First,Individual,1598 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
595,Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],6500000,2021,7500,Petrol,Automatic,Delhi,Black,First,Individual,1991 cc,194 bhp @ 5800 rpm,300 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
1235,Ford,Endeavour Sport 2.0 4x4 AT,3900000,2021,41086,Diesel,Automatic,Pune,White,Second,Individual,1996 cc,168 bhp @ 3500 rpm,420 Nm @ 2000 rpm,AWD,4903.0,1869.0,1837.0,7.0,80.0
1116,Honda,City V CVT Petrol [2017-2019],1340000,2021,11000,Petrol,Automatic,Mumbai,Black,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1288,Maruti Suzuki,SX4 ZDI,297000,2013,84000,Diesel,Manual,Delhi,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1735.0,1560.0,5.0,50.0
1968,Land Rover,Discovery Sport HSE Petrol 7-Seater,5100000,2019,24444,Petrol,Automatic,Bangalore,Blue,Second,Individual,1999 cc,236 bhp @ 5500 rpm,340 Nm @ 1750 rpm,AWD,4600.0,2069.0,1724.0,7.0,65.0
1586,Toyota,Etios 1.2 G,434999,2015,32545,Petrol,Manual,Kolkata,Silver,First,Individual,1197 cc,79 bhp @ 5600 rpm,104 Nm @ 3100 rpm,FWD,3895.0,1735.0,1555.0,5.0,45.0
1025,Hyundai,Santa Fe 4 WD (AT),650000,2013,83466,Diesel,Automatic,Jaipur,White,First,Individual,2199 cc,195 bhp @ 4000 rpm,436 Nm @ 1800 rpm,AWD,4660.0,1890.0,1760.0,7.0,70.0
1569,Honda,Amaze 1.2 VX AT i-VTEC,434999,2014,50000,Petrol,Automatic,Mumbai,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
327,Jeep,Compass Limited (O) 1.4 Petrol AT [2017-2020],1250000,2017,60200,Petrol,Automatic,Thane,White,First,Corporate,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
1359,Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],675000,2016,50000,Diesel,Manual,Mohali,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
1641,Mahindra,XUV500 W6 2013,865000,2017,93000,Diesel,Manual,Ahmedabad,White,First,Individual,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
1632,Maruti Suzuki,Ertiga VXI,775000,2017,71000,Petrol,Manual,Delhi,Silver,First,Individual,1373 cc,94 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4296.0,1695.0,1685.0,7.0,45.0
782,Audi,A4 30 TFSI Premium Plus,4250000,2020,17000,Petrol,Automatic,Pune,White,First,Individual,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,4726.0,1842.0,1427.0,5.0,54.0
1748,Ford,Endeavour Titanium 3.2 4x4 AT,3450000,2018,35000,Diesel,Automatic,Ludhiana,White,First,Individual,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,4892.0,1860.0,1837.0,7.0,80.0
1093,Maruti Suzuki,Swift DZire LXI (O),421000,2017,69000,Petrol,Manual,Faridabad,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
940,BMW,5-Series 520d Luxury Line [2017-2019],2750000,2017,51800,Diesel,Automatic,Navi Mumbai,Black,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4936.0,1868.0,1479.0,5.0,65.0
135,Mahindra,Scorpio 2.6 Turbo 7 Str,550000,2007,92170,Diesel,Manual,Ranchi,White,Second,Individual,2609 cc,116@3800,277@1700,RWD,4495.0,1817.0,1975.0,7.0,60.0
1101,MINI,Countryman Cooper S JCW Inspired,3875000,2021,12000,Petrol,Automatic,Delhi,Green,First,Individual,1998 cc,189 bhp @ 4400 rpm,280 Nm @ 1350 rpm,FWD,4299.0,1822.0,1557.0,5.0,47.0
605,Audi,A3 35 TDI Premium + Sunroof,2900000,2019,15530,Diesel,Automatic,Goa,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
1837,Honda,City VX Petrol [2017-2019],850000,2017,47255,Petrol,Manual,Ahmedabad,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1743,Hyundai,Creta SX 1.6 AT Petrol,1260000,2018,36000,Petrol,Automatic,Mumbai,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
179,Mahindra,Scorpio VLX 2WD BS-IV,600000,2014,83000,Diesel,Manual,Rudrapur,White,Second,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
193,Renault,Duster 110 PS RxL Diesel,425000,2014,72000,Diesel,Manual,Ludhiana,White,Second,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
1117,Maruti Suzuki,Swift ZXi Plus [2018-2019],840000,2020,11000,Petrol,Manual,Bangalore,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
707,Maruti Suzuki,Ciaz Delta 1.5 Diesel,910000,2019,76000,Diesel,Manual,Hyderabad,White,First,Individual,1498 cc,94 bhp @ 4000 rpm,225 Nm @ 1500 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
634,Maruti Suzuki,XL6 Zeta MT Petrol,975000,2019,41792,Petrol,Manual,Pune,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445.0,1775.0,1700.0,6.0,45.0
858,Hyundai,Elantra 1.6 SX AT,625000,2014,80000,Diesel,Automatic,Delhi,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,259 Nm @ 1900 rpm,FWD,4530.0,1775.0,1470.0,5.0,56.0
637,Kia,Seltos GTX Plus 1.4 [2020-2021],1550000,2019,17000,Petrol,Manual,Bangalore,White,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
1124,Ford,Ecosport Titanium 1.5 Ti-VCT,550000,2013,47000,Petrol,Manual,Indore,Black,First,Individual,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
207,Hyundai,i20 Magna 1.4 CRDI,340000,2013,98500,Diesel,Manual,Chandigarh,Silver,First,Individual,1336 cc,89 bhp @ 4000 rpm,219.744 Nm @ 1500 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
1813,BMW,2 Series Gran Coupe 220d M Sport [2020-2021],4100000,2020,12136,Diesel,Automatic,Hyderabad,Blue,First,Corporate,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4526.0,1800.0,1420.0,5.0,50.0
1727,Mercedes-Benz,CLS 300d [2018-2019],6975000,2020,15200,Diesel,Automatic,Delhi,White,First,Individual,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD,4988.0,1890.0,1435.0,5.0,66.0
1293,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,Individual,1086 cc,67@5500,99@2800,FWD,3565.0,1595.0,1550.0,5.0,35.0
1802,Mercedes-Benz,S-Class 350 CDI L,1495000,2011,72100,Diesel,Automatic,Mumbai,Red,Second,Individual,2987 cc,235 bhp @ 4000 rpm,490 Nm @ 1800 rpm,RWD,5226.0,2120.0,1479.0,5.0,90.0
1925,Honda,WR-V VX MT Diesel,755000,2017,75650,Diesel,Manual,Thane,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
1544,Maruti Suzuki,DZire ZXi AGS,950000,2022,10000,Petrol,Automatic,Mumbai,Bronze,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
287,Hyundai,Creta 1.6 SX Plus AT Petrol,960000,2016,37079,Petrol,Automatic,Thane,Red,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1756,Hyundai,Verna 1.6 VTVT SX AT,770000,2016,20000,Petrol,Automatic,Pune,White,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
1295,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3090000,2017,52000,Diesel,Automatic,Mumbai,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
401,Maruti Suzuki,Baleno Alpha 1.2 AT,595000,2017,35000,Petrol,Automatic,Mumbai,Blue,Third,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
