,Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
26,2703,Hyundai Grand i10 Asta Option,2016,493218.6654897707,40000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
27,4435,Maruti Wagon R LXI BS IV,2014,315034.6315277077,10000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
28,7542,Maruti Vitara Brezza LDi,2017,650005.7857502497,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
29,2412,Maruti Baleno LXI,2005,615390.9049490304,90000,Petrol,Individual,Manual,Second Owner,15.4 kmpl,1590 CC,94 bhp,130Nm@ 3000rpm,5.0
30,4770,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,677927.3999466981,60000,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
31,1993,BMW 3 Series 320d,2017,2875127.4083161377,13663,Diesel,Dealer,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
32,6104,Mercedes-Benz New C-Class 250 CDI Classic,2011,2497843.8123716344,80000,Diesel,Individual,Automatic,First Owner,15.8 kmpl,2148 CC,170 bhp,"42@ 2,000(kgm@ rpm)",5.0
33,1838,Tata Manza Aura (ABS) Quadrajet BS IV,2010,228780.49296194012,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
34,6258,BMW 6 Series GT 630d Luxury Line,2018,5861387.383584014,30000,Diesel,Individual,Automatic,First Owner,17.09 kmpl,2993 CC,261.4 bhp,620Nm@ 2000-2500rpm,4.0
35,7302,Toyota Etios VD,2012,531820.833791204,74500,Diesel,Individual,Manual,First Owner,,,,,
36,5039,Tata Nexon 1.2 Revotron XE,2018,705233.1852053837,30000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5.0
37,7549,Maruti 800 Std,2012,354525.0007869662,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
38,3214,Ford Endeavour 3.2 Titanium AT 4X4,2016,2946799.0681768563,80000,Diesel,Individual,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,470Nm@ 1750-2500rpm,7.0
39,6125,Maruti Swift Dzire Vdi BSIV,2011,401924.16407460393,60000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
40,1058,Maruti Swift Dzire ZXI Plus,2018,794852.0223895744,41779,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
41,6644,Renault KWID 1.0 RXT Optional,2016,258003.82201918866,60000,Petrol,Individual,Manual,Second Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
42,5103,Maruti Wagon R AMT VXI,2015,352692.9166211197,20000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0
43,2624,Maruti Baleno Delta 1.2,2018,603759.0511221853,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0
44,321,Tata Tiago 1.2 Revotron XZ,2017,414721.3235011259,26000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
45,4438,Tata Indigo eCS VX BSIV,2013,298745.34679794905,70000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
46,6924,Hyundai Grand i10 CRDi Magna,2014,392298.9030266319,60000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0
47,3309,Maruti Swift VDI,2012,346206.60506290384,97000,Diesel,Individual,Manual,Third Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
48,4913,Tata Tiago XT,2018,469389.1568639516,22966,Petrol,Dealer,Manual,First Owner,23.84 kmpl,1199 CC,84.48 bhp,113Nm@ 3300rpm,5.0
49,7199,Maruti Ritz VDi ABS,2009,177373.24994276685,70000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0
50,7449,Tata Nexon 1.2 Revotron XM,2018,625671.8171481431,15000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5.0
51,1361,Maruti Ertiga ZDI,2012,531413.6325286119,98000,Diesel,Individual,Manual,Fourth & Above Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0
52,2240,Volkswagen Jetta 2.0L TDI Highline AT,2011,1064056.7286572866,106000,Diesel,Individual,Automatic,Second Owner,16.96 kmpl,1968 CC,138.1 bhp,320Nm@ 1750-2500rpm,5.0
53,1312,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,922054.044178391,30000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0
54,5717,Maruti Swift Dzire 1.2 Vxi BSIV,2012,430402.06068139384,35000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
55,1088,Toyota Etios VX,2017,625011.5991127348,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0
56,4750,Tata Indigo CS LX (TDI) BS-III,2017,346765.3953303767,70000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
57,5269,Maruti Alto LXi,2010,182052.29189906828,100000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
58,4829,BMW X4 M Sport X xDrive20d,2019,5459338.991698419,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
59,197,Maruti Ciaz 1.3 Alpha,2017,829534.5419160819,37000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
60,6744,Volkswagen Vento Diesel Highline,2012,328854.0724093203,130000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
61,1681,Maruti Alto 800 LXI,2016,269444.7019392594,65000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
62,945,Maruti Swift Dzire VDi,2012,378700.5310231454,108000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
63,7957,Honda City i-VTEC VX,2018,1018660.7822519316,5500,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0
64,3825,Toyota Platinum Etios 1.4 GD,2017,700858.9890193782,150000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0
65,308,Chevrolet Beat LS,2012,150584.14251393173,60000,Petrol,Individual,Manual,Third Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0
66,1384,Hyundai i10 Magna 1.2 iTech SE,2012,280378.053865336,56000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
67,5725,Honda City i DTEC VX,2014,688307.5074704167,140000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
68,4482,Maruti Swift VXI Optional,2016,500533.77525427926,64000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
69,322,Hyundai Grand i10 1.2 CRDi Sportz,2018,500003.93012187013,29000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
70,6006,Renault KWID Climber 1.0 MT,2017,328436.3114230896,20000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
71,4866,Tata Manza Aura (ABS) Quadrajet BS IV,2011,274199.9734431396,50000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
72,6408,Maruti Swift Dzire ZXi,2012,327137.46899484284,90000,Petrol,Individual,Manual,Second Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0
73,4287,Toyota Innova 2.5 G (Diesel) 7 Seater,2012,689020.8073462609,246000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0
74,4523,Maruti Ertiga VDI,2015,591486.2173173558,110000,Diesel,Individual,Manual,Third Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
75,5131,Mahindra KUV 100 G80 K8 Dual Tone,2018,443660.10336185317,60000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6.0
76,4685,Maruti Wagon R VXI,2016,395743.38019340765,60000,Petrol,Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
77,7181,Hyundai i20 1.4 CRDi Era,2012,393001.93335251906,90000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
78,6544,Mahindra Verito 1.5 D2 BSIII,2011,200370.2770214592,218000,Diesel,Individual,Manual,First Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5.0
79,7778,Tata Hexa XT,2017,1439521.7428236564,45000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0
80,3891,Mahindra XUV500 W10 2WD,2015,1149225.1838098126,140000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
81,3282,Honda BRV i-DTEC V MT,2016,927170.5314500366,60000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,7.0
82,3614,Mahindra XUV500 AT W10 FWD,2015,1095540.7952396781,100000,Diesel,Individual,Automatic,Second Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
83,1167,Mahindra Verito 1.5 D6 BSIV,2012,199784.80225801957,25000,Diesel,Individual,Manual,First Owner,21.03 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm,5.0
84,7671,Hyundai Grand i10 1.2 Kappa Asta,2013,424099.3945200599,21000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
85,7568,Hyundai EON Magna Plus,2013,187141.8769780642,49500,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
86,4647,Maruti XL6 Alpha,2019,1018660.5489646092,15000,Petrol,Individual,Manual,First Owner,19.01 kmpl,1462 CC,103.2 bhp,138nm@ 4400rpm,6.0
87,4926,Mahindra Bolero 2011-2019 SLX 2WD BSIII,2016,595824.2488921543,91182,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
88,4223,Honda Jazz VX,2016,550004.1051622204,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
89,5630,Honda Amaze V CVT Petrol BSIV,2019,778997.1861032576,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
90,4269,BMW X4 M Sport X xDrive20d,2019,5459338.991698419,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
91,2074,Nissan Terrano XL 85 PS,2015,649177.80151291,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0
92,7743,Maruti SX4 Vxi BSIII,2009,178605.81882500486,125876,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5.0
93,2603,Hyundai Santro Era,2019,447968.5643741657,4000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm,5.0
94,5,Hyundai Xcent 1.2 VTVT E Plus,2017,461442.48107231257,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
95,3255,Hyundai i10 Sportz,2013,288902.2389938027,30000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
96,2267,Maruti Swift VDI BSIV,2010,262464.96174067026,150000,Diesel,Individual,Manual,Second Owner,,,,,
97,4248,BMW X4 M Sport X xDrive20d,2019,5459338.991698419,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
98,3797,Maruti Zen Estilo LXI BSIII,2007,58767.22285547631,160000,Petrol,Individual,Manual,Fourth & Above Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
99,6061,Maruti Alto LXi BSIII,2008,101341.8384790034,195000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
100,5286,Honda Jazz 1.5 V i DTEC,2016,587414.982483782,30000,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
101,1988,Tata Nexon 1.5 Revotorq XZ Plus,2017,871858.3129561082,26766,Diesel,Dealer,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0
102,6802,Hyundai i10 Sportz,2010,185984.39376829285,70000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
103,4257,Jaguar XF 2.0 Diesel Portfolio,2017,3200019.1293456997,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
104,5600,Maruti Swift ZXI ABS,2007,195630.40227911156,100750,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0
105,4386,Renault KWID 1.0 RXT Optional,2018,358619.3398848246,31000,Petrol,Dealer,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
106,828,Hyundai Verna 1.6 CRDi S,2017,743374.6502612857,35000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
107,5325,Maruti Swift VDI BSIV,2014,472272.8663353729,70000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
108,1852,Maruti 800 Std MPFi,2003,51519.62672200892,35000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
109,2366,Hyundai Santro Xing (Non-AC),2010,51320.45814104751,80000,Petrol,Individual,Manual,Second Owner,0.0 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
110,4021,Hyundai i20 Sportz Option 1.4 CRDi,2015,589743.4418140715,72000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
111,1173,Maruti Alto 800 LXI,2014,215868.7602794302,15000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
112,5779,Hyundai Accent Executive,2013,254702.31539502018,120000,Petrol,Individual,Manual,First Owner,16.36 kmpl,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5.0
113,960,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2008,425501.23790801305,193623,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
114,4751,Tata Tigor 1.2 Revotron XZA,2017,571550.3342233868,19723,Petrol,Dealer,Automatic,First Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
115,7969,Toyota Innova 2.5 G (Diesel) 7 Seater,2012,713078.0402271124,250000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0
116,4297,Mahindra Scorpio VLX 2WD ABS AT BSIII,2014,622102.428057128,139000,Diesel,Individual,Automatic,First Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
117,3623,Mahindra Scorpio VLX 2WD BSIII,2008,294279.251107082,120000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
118,4892,Chevrolet Spark 1.0 LS,2008,49880.958981527714,100000,Petrol,Individual,Manual,Third Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0
119,5378,Maruti Swift Dzire VDi,2010,288123.36030367715,120000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
120,4684,Maruti Ciaz Alpha Diesel,2018,1002636.4229889349,36000,Diesel,Dealer,Manual,First Owner,28.09 kmpl,1248 CC,88.50 bhp,200Nm@ 1750rpm,5.0
121,6487,Chevrolet Sail Hatchback LT ABS,2013,200027.62368541374,80000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1248 CC,76.9 bhp,205Nm@ 1750rpm,5.0
122,2951,Maruti Swift VDI,2013,392697.2224103359,170000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
123,4948,Hyundai i20 Sportz 1.2,2014,357508.37899161794,40523,Petrol,Dealer,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0
124,3358,Toyota Corolla Altis Diesel D4DG,2010,429745.5108961592,83585,Diesel,Dealer,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5.0
125,5377,Renault Duster 110PS Diesel RxL,2016,652143.6007724926,80000,Diesel,Individual,Manual,Second Owner,19.64 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0
126,4196,Isuzu MUX 2WD,2019,1129178.7940049092,10000,Diesel,Individual,Automatic,First Owner,13.8 kmpl,2999 CC,174.57 bhp,380NM@ 1800-2800rpm,7.0
127,4284,Hyundai Santro Xing GL Plus,2012,211517.7278312546,80000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
128,6429,Chevrolet Spark 1.0 LT Option Pack w/ Airbag,2009,326878.58625261614,30000,Petrol,Individual,Manual,First Owner,16.5 kmpl,995 CC,63 bhp,90.3Nm@ 4200rpm,5.0
129,5028,Maruti Baleno Delta 1.3,2017,640505.6640329175,56000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
130,2417,Hyundai i20 1.2 Asta Dual Tone,2018,688021.6095776467,8000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
131,5992,Maruti 800 AC,2000,-70723.05543253222,100000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
132,1541,Honda Brio 1.2 VX MT,2017,509002.6220467023,6750,Petrol,Individual,Manual,First Owner,18.5 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0
133,1825,Hyundai EON Magna Plus,2016,310880.9560397286,30000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
134,4454,Tata Sumo GX 7 Str BSII,2006,428701.89000681613,74000,Diesel,Individual,Manual,First Owner,13.7 kmpl,1948 CC,68 bhp,115@ 2500(kgm@ rpm),7.0
135,5648,Hyundai i20 Asta Option 1.2,2015,566149.7062063196,30000,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
136,1779,Hyundai Verna 1.6 CRDI,2011,413271.81427860947,80000,Diesel,Individual,Manual,Third Owner,22.32 kmpl,1582 CC,126.3 bhp,259.9Nm@ 1900-2750rpm,5.0
137,2511,Hyundai Grand i10 Magna,2014,359621.8229979407,50000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
138,1650,Tata Tiago 1.05 Revotorq XE,2017,452219.3899836892,120000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
139,5977,Maruti Esteem Lxi - BSIII,2007,206601.7147085456,70000,Petrol,Individual,Manual,Third Owner,15.9 kmpl,1298 CC,85 bhp,110Nm@ 4500rpm,5.0
140,51,Mitsubishi Pajero Sport 4X4,2013,1399577.2223128448,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7.0
141,3731,Hyundai i10 Magna,2014,300479.05193679116,80000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
142,2794,Mahindra Xylo D2 BS IV,2010,287654.3176988122,120000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0
143,5503,Hyundai Verna 1.6 SX CRDi (O),2012,540432.2105292513,70000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
144,4427,Hyundai Grand i10 1.2 CRDi Sportz,2017,469665.07166193903,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
